action,Fast and Furious,103,3D,1
drama,Before I met you,89,2D,2
kids,Frozen,109,3D,3
comedy,Deadpool,113,3D,4
action,Aquaman,136,3D,5
romantic,Set it up,105,2D,6
romantic,Jumping the Broom,112,2D,7
kids,The Polar Express,99,3D,8
kids,Puss in Boots,92,3D,9
comedy,Fist Fight,91,2D,10
action,How it Ends,113,2D,11
action,Run All Night,114,3D,12
kids,Madagascar,87,3D,13
comedy,Get Smart,109,2D,14
drama,Dunkirk,106,2D,15
kids,Megamind,97,3D,16
action,The Revenant,156,3D,17
drama,The Departed,151,2D,18
